"","Skills"
"317","technical recruiter monster dice"
"318","technical recruitment"
"319","technical recruiting"
"320","ats"
"321","full life cycle recruiter"
"322","engineering"
"323","recruit"
"324","business develoment"
"325","agency"
"326","linux. embedded"
"327","software"
"328","account"
"329","accounting"
"330","mainframe"
"331","the city is looking for someone that can combine their analytical and problem-solving skills with their fantastic people skills. the successful candidate will have a proven track record of excellent communication and project leadership skills."
"332","healthcare claims"
"333","erisa"
"334","cobra"
"335","hipaa. sql"
"336","provider"
"337","data"
"338","scrum master"
"339","csm"
"340","delivery manager"
"341","reporting"
"342","relationship management"
"343","technology"
"344","scrum methodology"
"345","project planning"
"346","safe"
"347","sap environment"
"348","scrum master certification"
"349","coaching both the scrum team and the development team"
"350","software projects"
"351","network administrator"
"352","wireless"
"353","switching"
"354","sdet"
"355","functional"
"356","performance"
"357","security and regression testing"
"358","senior"
"359","backend"
"360","automated tests apis (soap and rest services)"
"361","junit"
"362","testng"
"363","project coordinator"
"364","see job description"
"365","word"
"366","project coordination"
"367","visio"
"368","minimum of three years of traffic management or project coordination experience"
"369","understanding of marketing design"
"370","content management"
"371","and personalization /targeting"
"372","c++ developer"
"373","object oriented"
"374","oracle/rdbms"
"375","unix/linux"
"376","unix shell scripting"
"377","acbs"
"378","loan iq"
"379","trading systems"
"380","version control"
"381","db"
"382","multi-threading"
"383","bs computer science"
"384","5+ years of experience programming in c++ and low-latency"
"385","athena data platform"
"386","scala"
"387","data engineer"
"388","data warehousing"
"389","ab initio"
"390","nosql"
"391","big data"
"392","data science"
"393","tfs"
"394","sharepoint 2010"
"395","sharepoint developer"
"396","xslt"
"397","infopath"
"398","cloud computing"
"399","multi threading"
"400","java/j2ee"
"401","multithreading"
"402","jms"
"403","tibco ems"
"404","oracle and sybase"
"405","jsf/richfaces"
"406","design patterns & gof design patterns"
"407","complex sql queries"
"408","trigger"
"409","index"
"410","views"
"411","jms/mq"
"412","it security"
"413","security analyst"
"414","database administration"
"415","soap"
"416","jdbc"
"417","cassandra"
"418","kafka"
"419","hbase"
"420","mongodb"
"421","hdfs"
"422","exp with hadoop/ big data/ machine learning/etl and sql is a must"
"423","hadoop ecosystem"
"424","back-end"
"425","oops"
"426","account management"
"427","business development"
"428","marketing"
"429","information technology"
"430","account manager"
"431","staff augmentation"
"432","consulting & permanent / solutions / software development tools"
"433","service"
"434","staffing"
"435","embedded software"
"436","software sales"
"437","accounts"
"438","portfolio"
"439","business development manager"
"440","development manager"
"441","it services"
"442","bdm"
"443","business development manager- cloud & infrastructure services"
"444","selling"
"445","targets"
"446","must be a prospector/hunter with a disciplined mindset. both opening and closing enterprise-level complex multi-stakeholder services solutions."
"447","technical sales and business development"
"448","sales manager"
"449","sap sales"
"450","vp sales"
"451","ruby on rails"
"452","rails"
"453","ror"
"454","nosql/big data"
"455","mvc architecture"
"456","oop design/principles"
"457","apis"
"458","full stack development - ruby on rails"
"459","full stack development"
"460","elixir - jquery"
"461","oracle dba"
"462","rac"
"463","golden gate"
"464","pl/sql"
"465","dba"
"466","performance tuning"
"467","backups"
"468","oracle dba must be solid with shell"
"469","and/or python"
"470","work on oracle versions 11g/12c"
"471","exadata"
"472","oracle data warehouse dba"
"473","oracle databases (10g and 11g) operating on linux and aix platforms."
"474","storm"
"475","hadoop developer"
"476","flume"
"477","mapreduce"
"478","sqoop"
"479","zookeeper"
"480","flink"
"481","oozie"
"482","salt"
"483","cisco voip router switch f5 riverbed unified communication vmware citrix san nas"
"484","aix"
"485","test cases"
"486","db2"
"487","sybase"
"488","diagnostic"
"489","validation"
"490","genetic"
"491","browser"
"492","case"
"493","saas"
"494","c/c++"
"495","openstack"
"496","aws web services"
"497","mobile development"
"498","native"
"499","emc"
"500","system engineer"
"501","tad pgs"
"502","inc. specializes in delivering secure"
"503","reliable and rapidly implemented workforce solutions to the u.s. federal marketplace"
"504","including u.s. government agencies and their prime contractors. wi"
"505","microsoft active directory"
"506","adfs"
"507","azure cloud services"
"508","map reduce"
"509","big data architect"
"510","cloudera"
"511","azkaban"
"512","5-7 years of progressive experience in data management"
"513","data migration"
"514","business intelligence and data modeling with a deep knowledge of enterprise data architecture concepts"
"515","must have strong audit / iam experience"
"516","technical lead - c# and dot net"
"517","mvc 3 or 4"
"518","technical lead - jboss drools"
"519","sonar"
"520","technical lead - jee 6"
"521","struts 1.2"
"522","technical lead - python with java"
"523","development methodologies"
"524","vb.net"
"525",".net framework"
"526","information security"
"527","security/pci/cissp/cloud"
"528","siem"
"529","security/cloud/pci/iso"
"530","linux/unix"
"531","network monitoring"
"532","incident response"
"533","systems administration"
"534","security accessment"
"535","minimum requirements: at least 3 years experience within a medium to large organization specifically in information security in a windows"
"536","unix or macintosh environment[del: . :del] at least 2 yea"
"537","splunk and siem exposure"
"538","node"
"539","html5/css3 - javascript"
"540","html5/css3"
"541","and restful web services"
"542","react.js/angular.js/jquery/other javascript mvc"
"543","angular.js"
"544","programmer"
"545","visual basic"
"546","sap"
"547","programmer analyst"
"548","object oriented programming"
"549","vbscript"
"550","wpf"
"551","degree"
"552","vba and sql server"
"553","middle tier"
"554","web api. restful"
"555","oo principles and design"
"556","mechanical engineer"
"557","solidworks"
"558","mechanical"
"559","creo"
"560","autocad"
"561","cad"
"562","product development"
"563","electronics packaging"
"564","electronics cooling"
"565","gd&t"
"566","asme"
"567","shock and vibration"
"568","drawing standards"
"569","mechanical design"
"570","pro-e"
"571","ada"
"572","akka"
"573","java swing"
"574","java script"
"575","front end development"
"576","websphere"
"577",".net or java application servers"
"578","and proponent of test driven development"
"579","metrics"
"580","oop"
"581","site reliability engineer"
"582","team lead"
"583","spring mvc"
"584","lead"
"585","soap web service"
"586","asa"
"587","f5"
"588","network security"
"589","layer 3 networking"
"590","penetration testing"
"591","linux administration"
"592","professional services"
"593","vulnerability assessments"
"594","network architecture / network modeling"
"595","applications development"
"596","enterprise architect"
"597","enterprise software development architect"
"598","integration"
"599","data capture - pas"
"600","claims admin"
"601","pvcs / svn"
"602","ba / bs in appl env"
"603","indepth appl arch"
"604","togaf"
"605","dodaf"
"606","java architect"
"607","(see job description)"
"608","https"
"609","pop"
"610","ftp"
"611","smtp"
"612","ejb"
"613","servlet"
"614","jndi"
"615","drupal"
"616","drupal developer"
"617","organic groups"
"618","panels"
"619","panology"
"620","lamp (linux"
"621","php)"
"622","html/5"
"623","css/3"
"624","and javascript/jquery"
"625","rds"
"626","engineer"
"627","enterprise level"
"628","distributed systems"
"629","api's"
"630","services"
"631","chemical"
"632","biochemical"
"633","data anaysis"
"634","visualization"
"635","cloud architect"
"636","azure"
"637","gap analysis"
"638","cloud foundry"
"639","logstash"
"640","scala and python"
"641","jboss"
"642","nosql (cassandra)"
"643","rabbitmq"
"644","apigee"
"645","ssrs"
"646","ssis"
"647","sql developer"
"648","t-sql"
"649","healthcare applications"
"650","payer claims"
"651","xml/json"
"652","desktop support"
"653","ethernet"
"654","pc"
"655","windows 7"
"656","office"
"657","desktop"
"658","support"
"659","outlook"
"660","laptop"
"661","technician"
"662","desktop support technician"
"663","printers"
"664","help desk"
"665","iphone"
"666","ad"
"667","tickets"
"668","auto task"
"669","sql server dba"
"670","capacity planning"
"671","sql server developer"
"672","ms sql server 2014"
"673","database migration and upgrades"
"674","administration"
"675","production dba"
"676","stored procedures sql"
"677","datastage"
"678","teradata"
"679","scheduling"
"680","shell scripting"
"681","pentaho"
"682","agile coach"
"683","xp"
"684","kanban"
"685","dad"
"686","ci"
"687","csp"
"688","bdd"
"689","rdbms"
"690","broadband"
"691","asp.net web api"
"692","quality assurance analyst"
"693","risk management"
"694","pen testing"
"695","it risk assessments"
"696","'cissp certification and oracle and sep and qnxt and v3 and sans and ids and ips and log correlation systems"
"697","antivirus"
"698","malware"
"699","shell"
"700","bi developer"
"701","ssas"
"702","power bi"
"703","olap"
"704","bi"
"705","model-driven development environment"
"706","develop data models"
"707","sql server 2012"
"708","ssas tabular models"
"709","powerbi"
"710","linux engineer"
"711","tomcat"
"712","configuration management"
"713","red hat"
"714","application"
"715","c"
"716","embedded"
"717","vxworks"
"718","ti processors"
"719","rtos"
"720","plan and write internal and interface documentation for software"
"721","test automation"
"722","cucumber"
"723","automation testing"
"724","frameworks"
"725","qa automation"
"726","electrical engineering"
"727","electrical engineer"
"728","electrical design"
"729","circuit"
"730","(designer or electrical designer or altium designer or electrical engineer) and (circuit or pcb or or signals or amplifiers or dc motors or valves or schematic) and (design or designing)"
"731","p&id"
"732","allen bradley"
"733","hmi"
"734","siemens"
"735","mitsubishi"
"736","postgres"
"737","database administrator"
"738","senior database administrator microsoft sql server alwayson windows os"
"739","dba. olap"
"740","application support"
"741","ssis etl"
"742","tsql"
"743","application architect"
"744","web"
"745","jetty"
"746","web development"
"747","data management"
"748","rest service design"
"749","amazon redshift"
"750","postrgresql"
"751","hdfs and apache"
"752","analytical"
"753","rhel"
"754","linux administrator"
"755","virtualization"
"756","redhat"
"757","weblogic"
"758","bind"
"759","data visualization"
"760","tableau applications"
"761","system testing"
"762","tableau - enterprise implementation and reports development"
"763","tableau data mapping analytics"
"764","tableau desktop"
"765","uft"
"766","automation engineer - continuous delivery"
"767","microsoft technology stack"
"768","soapui pro"
"769","qtp"
"770","see job overview."
"771","tests"
"772","2+ years professional experience in help desk/desktop support role"
"773","experience supporting a variety of hardware"
"774","including laptops"
"775","mobile devices"
"776","scanners and printers"
"777","helpdesk"
"778","it service management (bmc itsm is a plus"
"779","windows 7 operating systems"
"780","sap ariba consultant"
"781","sap ariba consulting"
"782","sap ariba implementation"
"783","senior sap ariba consultant"
"784","ariba"
"785","supply chain"
"786","os x/linux"
"787","c#/asp.net"
"788","full stack"
"789","restful web services"
"790","cism"
"791","cisa"
"792","audit"
"793","csirp"
"794","infrastructure security"
"795","controls"
"796","infosec"
"797","sans giac"
"798","information security analyst"
"799","technical knowledge of database and operating system (windows and linux) security"
"800","and computer networking"
"801","security management"
"802","identity access management (iam)"
"803","vulnerability management"
"804","security logs"
"805","devops experience"
"806","job requirements: - 5 or more years of experience in linux administration in a cloud focused environment (public and private) - proficient in major scripting languages (shell"
"807","rub"
"808","development experience in any language"
"809","(python"
"810","chef or similar)"
"811","(hadoop or similar)"
"812","devops engineer with build-release"
"813","job requirements: - 5+ years of experience in linux administration in a cloud focused environment (public and private) - candidates should demonstrate strong technical strengths in most of the follo"
"814","devops eng - windows"
"815","redux"
"816","graphql - react"
"817","es6"
"818","ui/ux design"
"819","nodejs"
"820","cloud / aws / heroku"
"821","protocol"
"822","hardware/software/engineering/"
"823","process validation"
"824","gmp"
"825","capa"
"826","inventor"
"827","design engineering"
"828","juniper"
"829","ccie"
"830","voip"
"831","network architect"
"832","network design"
"833","sip"
"834","eigrp"
"835","qos"
"836","table creation"
"837","technical architect - continuous delivery"
"838","automotive"
"839","ain"
"840","ec2"
"841","ebs"
"842","elb"
"843","vpc"
"844","sysops administrator"
"845","cloud engineer"
"846","cloud engineer - dallas"
"847","tx"
"848","cloud engineer iaas paas saas spark hadoop mesos jvms bash perl ruby python puppet ansible chef"
"849","dev ops"
"850","maven"
"851","peoplecode"
"852","integration broker"
"853","application engine"
"854","component interface"
"855","process scheduler"
"856","peopletools"
"857","including application designer"
"858","online customizations"
"859","ps query and data mover"
"860","peoplesoft"
"861","sqr"
"862","peoplesoft hcm"
"863","hr"
"864","payroll"
"865","peoplesoft 9.2"
"866","peoplesoft hcm 9.2"
"867","applications support"
"868","customer support development redhat linux"
"869","centos"
"870","postgresql"
"871","c# sqlc"
"872","application support engineer (not software developer)- linux"
"873","perl scripting"
"874","sql - new york - $80-90k + bonus + benefits"
"875","rest endpoints"
"876","applications"
"877","computer"
"878","quality"
"879","flex"
"880","ui/ux designer"
"881","wireframing"
"882","adobe design tools"
"883","invision and axure"
"884","standards for desktop"
"885","tablets"
"886","smart phones and web-based applications"
"887","ui ux design"
"888","javascript libraries"
"889","csss"
"890","coding"
"891","banking"
"892","loans"
"893","market risk"
"894","technical and business processes research"
"895","development of technical and business solutions"
"896","risk assessment"
"897","implementation roadmap"
"898","techno commercial evaluation"
"899","genesys contact center/call center project"
"900","business analyst-digital applications"
"901","security architect"
"902","cloud security"
"903","account executive"
"904","hunter"
"905","cold calling"
"906","cybersecurity"
"907","account executive / sales"
"908","powercenter"
"909","informatica developer"
"910","data architecture"
"911","edi"
"912","financial analyst"
"913","reconciliation"
"914","supervisor"
"915","hyperion"
"916","forecast"
"917","business objects"
"918","refer to job description"
"919","trade processing"
"920","investments"
"921","oracle developer"
"922","ofsaa"
"923","alm"
"924","broadridge"
"925","bachelors degree in computer science"
"926","engineering or other software-related engineer program"
"927","oracle forms"
"928","web center"
"929","css java"
"930","jsps javascript"
"931","nginx"
"932","oracle pl/sql"
"933","hp vertica"
"934","data warehouse sql cognos etl bi framework manager report studio"
"935","data marts"
"936","data sources"
"937","global data warehouse"
"938","sisense"
"939","and stored procedures"
"940","office365"
"941","infrastructure architect"
"942","microsoft azure"
"943","cloud iaas/paas"
"944","o365"
"945","cloud integration"
"946","asp. net"
"947","experience in erp systems such as sap"
"948","microsoft dynamics ax"
"949","production support"
"950","oracle ebs"
"951","helpdesk analysts with application support experience. must have excellent communication skills."
"952","sharepoint administrator"
"953","sharepoint administration"
"954","stsadm"
"955","sharepoint 2013"
"956","windows 2012 administration"
"957","windows rms"
"958","strong powershell scripting"
"959","systems center operations manager(scom)."
"960","sharepoint adminitrator"
"961","troubleshoot"
"962","root cause analysis"
"963","search"
"964","iis and powershell"
"965","technical support"
"966","ms office - ms word - ms excel"
"967","software support"
"968","software testing"
"969","diagnosing technical customer issues"
"970","phone support"
"971","experience working in or with schools - technical support"
"972","experience working in or with schools"
"973","front-end"
"974","react js"
"975","test"
"976","software engineer in test (sdet)"
"977","performance testing"
"978","libraries"
"979","pl/sql developer"
"980","script"
"981","market data"
"982","capital market"
"983","relational database"
"984","unix shell script"
"985","uat"
"986","problem solving"
"987","oracle sql"
"988","software development phases"
"989","solaris"
"990","organizational skills"
"991","data modeler"
"992","dwh background"
"993","dimensional modeling"
"994","oltp"
"995","toad"
"996","data manipulation"
"997","data research"
"998","data modeler data modeling life insurance data warehousing sql metadata erwin etl mapping"
"999","need data modeler for longterm position. only gc/usc/ gc ead for this position."
"1000","oltp and olap"
"1001","data modeler teradata erwin"
"1002","see below"
"1003","sql developement"
"1004","data design"
"1005","sql dba"
"1006","sql server database dba administrator mcse diaster reovery modeling data ssis ssrs dts scripting security reporting processing flowcharting privacy"
"1007","mongo"
"1008","admin"
"1009","ms sql 2012 / 2014 saas oracle sql cluster"
"1010","2012"
"1011","production"
"1012","foundation"
"1013","sql database"
"1014","vb.net developer"
"1015","wcf services"
"1016","iis"
"1017","mssql"
"1018","vb.net and or c# in a web based and winforms environment"
"1019","dot net"
"1020","winforms"
"1021","crystal reports"
"1022","desktop support analyst"
"1023","mac ios"
"1024","windows os"
"1025","troubleshooting"
"1026","4-6 years of experience end user support"
"1027","supporting windows 10 os expertise"
"1028","hardware experience (specifically dell)"
"1029","office suite"
"1030","customer service skills. experience with mac"
"1031","experience supporting"
"1032","technical support analyst"
"1033","basic"
"1034","microstrategy"
"1035","microstrategy developer and admin"
"1036","microstrategy developer"
"1037","spotfire"
"1038","engineers"
"1039","desktop support specialist"
"1040","upgrades"
"1041","servers"
"1042","(msp ) and (ms windows server ) and (ms office ) and (dhcp ) and (active directory ) and (cisco ) and (networking ) and (dns )"
"1043","must be able to troubleshoot microsoft operating systems including windows 7"
"1044","8"
"1045","10"
"1046","windows server 2008"
"1047","system"
"1048","system requirements"
"1049","designs"
"1050","qa methodologies and sdlc standards"
"1051","client/server computing technologies"
"1052","database technologies and various programming languages"
"1053","college degree or related discipline"
"1054","2 years identifying test scenarios and writing test scripts"
"1055","solid debugging skills"
"1056","excellent testing skills"
"1057","restful apis"
"1058","clearquest and software test and linux and windows"
"1059","c# testing"
"1060","fitnesse"
"1061","experience in working on middleware development in .net. building components"
"1062","services using c#.net"
"1063","entity framework"
"1064","linq"
"1065","wcf/webservices/webapi in an soa world."
"1066","jda/rp wms implementation & support"
"1067","java /j2ee"
"1068","batch spring framework"
"1069","jasper reports"
"1070","cics"
"1071","jcl"
"1072","cobol"
"1073","mq"
"1074","ims"
"1075","pli"
"1076","ims db"
"1077","technical skills: cobol"
"1078","ims (batch & online)"
"1079","tablebase"
"1080","vsam"
"1081","clist"
"1082","qmf"
"1083","tso"
"1084","z/os 4.2.0"
"1085","host/mainframe based applications utilizing systems development life cycle (waterfall/iterative/agile) and best practices"
"1086","expertise in sql server management expertise and experience"
"1087","ansi"
"1088","pl1"
"1089","(.net"
"1090","j2ee)"
"1091","salesforce business analyst"
"1092","salesforce.com business analysis"
"1093","hcls payer"
"1094","salesforce & hcls payer"
"1095","marketing crm"
"1096","eloqua"
"1097","market place"
"1098","7 years of salesforce sdlc"
"1099","5 years salesforce configuration/development"
"1100","communication"
"1101","in-depth knowledge of salesforce administration"
"1102","standard objects"
"1103","reports/dashboards"
"1104","chatter"
"1105","5 years of exp. in salesforce"
"1106","cisco switches"
"1107","gateways"
"1108","security firewalls"
"1109","voip telephony infrastructure."
"1110","cisco routers and switching"
"1111","please refer to job description"
"1112","cisco network engineer"
"1113","cisco network engineer cisco router"
"1114","cisco switch design and management"
"1115","juniper firewalls"
"1116","routing"
"1117","probusiness"
"1118","sox"
"1119","compute technologies"
"1120","php html css javascript jquery lamp"
"1121","integration architect"
"1122","iib"
"1123","bpm"
"1124","wsrr"
"1125","strong testing experience in oracle identity manager 11gr2 ps2"
"1126","pmi"
"1127","web technologies"
"1128","lotus notes"
"1129","os x"
"1130","landesk"
"1131","ft desktop engineer in stamford"
"1132","ct"
"1133","ms exchange"
"1134","resolving connectivity"
"1135","pc configuration"
"1136","internet and mainly proprietary software application issues"
"1137","help desk support"
"1138","help desk analyst (call center)"
"1139","cabling"
"1140","sourcing"
"1141","it/non it and technologies."
"1142","null"
"1143","office tools"
"1144","sourcer"
"1145","dice"
"1146","monster"
"1147","cb"
"1148","careerbuilder"
"1149","utilities"
"1150","ids"
"1151","it security engineer"
"1152","threat"
"1153","isc2"
"1154","ips"
"1155","cyber"
"1156","rsa incident response"
"1157","sans"
"1158","wan/lan"
"1159","ssl/tls"
"1160","ipsec"
"1161","tde"
"1162","pki"
"1163","web/browser"
"1164",".net html css javascript restful webservices"
"1165","infrastructure project manager"
"1166","pmo"
"1167","contract w2"
"1168","12 months"
"1169","ms project 2013"
"1170","costing"
"1171","connectwise"
"1172","spanish"
"1173","portuguese"
"1174","operating system"
"1175","operating systems"
"1176","os"
"1177","and javascript"
"1178","linux unix perl lamp"
"1179","platform engineer/software engineer"
"1180","macos"
"1181","girret"
"1182","kernel"
"1183","clojure"
"1184","aws - java"
"1185","jvm"
"1186","windows server admin"
"1187","iis 6.0/7.0"
"1188","ad design"
"1189","protocols (e. g."
"1190","tcp"
"1191","ood"
"1192","solid principles"
"1193","xml/html"
"1194","javascript/jquery"
"1195","microsoft iis"
"1196","oracle 11g"
"1197","oracle adi"
"1198","xml publisher and workflow oracle rdbms 10g and 11g"
"1199","sql tuning"
"1200","pl/sql debugging/tuning"
"1201","e-business suite"
"1202","12c"
"1203","10g"
"1204","11g"
"1205","oracle cloud control"
"1206","hudson"
"1207","stored procedures"
"1208","sqa"
"1209","lean manufacturing techniques"
"1210","performance engineer"
"1211","jmeter"
"1212","load runner"
"1213","test automation framework"
"1214","automation tests"
"1215","stability"
"1216","disaster recovery"
"1217","administrative assistant"
"1218","immigration experiance"
"1219","administrative roles"
"1220","administrative assistance"
"1221","clerical"
"1222","customer support"
"1223","data entry"
"1224","sales support"
"1225","quickbooks"
"1226","windows 8"
"1227","large-scale and scala and develop and oa"
"1228","websockets"
"1229","json/xml"
"1230","messaging and big data and spark and hadoop and sql and nosql and and java and frameworks"
"1231","spray"
"1232","github"
"1233","cassandra db"
"1234","please refer to job description for requirements"
"1235","play"
"1236","webservices"
"1237","dotnet"
"1238","adobe flash and photoshop and illustrator and (audio editing software or adobe captivate or lectora or articulate or adobe connect oracrobat)"
"1239","backbone.js"
"1240","knockout or ember.js"
"1241","it manager"
"1242","it management"
"1243","network administration"
"1244","environmental"
"1245","hub"
"1246","middleware"
"1247","pci"
"1248","load balancing"
"1249","inbound"
"1250","outbound"
"1251","a+"
"1252","pos"
"1253","mobile support"
"1254","retail"
"1255","ba"
"1256","it business analyst"
"1257","mortgage"
"1258","loan servicing"
"1259","sdlc excel"
"1260","real-time transaction networking applications"
"1261","strong oo skills"
"1262","drivers"
"1263","socket"
"1264","bachelor's degree with 5 years of experience developing software applications in c++ preferably in a linux environment is required. experience with .net or java preferred."
"1265","source control management (svn"
"1266","cvs)"
"1267","mvc - c++"
"1268","system architecture"
"1269","java 6"
"1270","xml/xslt"
"1271","jaxb or xstream"
"1272","soap/restful spring"
"1273","eclipse ide or maven"
"1274","nosql experience preferred."
"1275","spring framework"
"1276","nonsql db"
"1277","basic design pattern and problem solving algorithm"
"1278","java / j2ee"
"1279","r scripting"
"1280","bi analyst"
"1281","oil & gas"
"1282","senior business intelligence analyst"
"1283","oil and gas"
"1284","advanced sql (analytic functions"
"1285","dynamic sql"
"1286","etc.)"
"1287","sr. business intelligence analyst"
"1288","birst strongly preferred"
"1289","provides subject matter expertise for key bi core functions"
"1290","bi etl netsuite tableau sap erp"
"1291","ms sql"
"1292","cognos"
"1293","bi reporting"
"1294","ldap"
"1295","sql knowledge"
"1296","cognos cubes"
"1297","cognos 10"
"1298","framework manager"
"1299","report studio"
"1300","strong sql skills"
"1301","develops"
"1302","cognos reports"
"1303","asp.net mvc"
"1304","ms-sql"
"1305","episerver or mediachase"
"1306","e-commerce development"
"1307","c# 4.0+"
"1308",".net 4.0+"
"1309","cms - c#"
"1310","cms"
"1311","c #"
"1312","j2"
"1313","apache solr"
"1314","apache lucene"
"1315","aws - javascript"
"1316","spark/scala"
"1317","sr javascript engineer"
"1318","strong javascript spa development (angular / redux / node.js / mongo / etc)"
"1319","strong web application development experience"
"1320","backend technical experience"
"1321","agile / scrum"
"1322","mobile apps"
"1323","emberjs"
"1324","system analyst"
"1325","business requirment"
"1326","system integrations"
"1327","client facing"
"1328","aerospace industry"
"1329","mvc 2.0 or higher"
"1330","telerik controls for .net applications"
"1331","classic asp"
"1332","eight or more years experience in developing requirements and performing system analysis"
"1333","medicare claims and medicare risk adjustment"
"1334","vb.net or c#"
"1335","microsoft t-sql"
"1336","skype for business"
"1337","pl / sql skills"
"1338","aerospace"
"1339","java coding"
